Name,SiteNumber,EventDateTime,MeterNumber,MeterReading,BatteryVoltage,PowerStatus,PSiteName,ReadingDate,ReadingTime
Rietvlei1,0003,2016-01-25 03:00:02.233,      87903951,0000008.218,13.0,ON,Rietvlei1,2016/01/25,03:00:00
Rietvlei1,0003,2016-01-25 02:00:06.050,      87903951,0000008.218,13.3,ON,Rietvlei1,2016/01/25,02:00:00
Rietvlei1,0003,2016-01-25 02:00:05.010,      87903951,0000008.218,13.3,ON,Rietvlei1,2016/01/25,02:00:00
Rietvlei1,0003,2016-01-25 02:00:03.570,      87903951,0000008.218,13.3,ON,Rietvlei1,2016/01/25,02:00:00
Rietvlei1,0003,2016-01-25 02:00:02.337,      87903951,0000008.218,13.3,ON,Rietvlei1,2016/01/25,02:00:00
Rietvlei1,0003,2016-01-25 01:00:04.353,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/25,01:00:00
Rietvlei1,0003,2016-01-25 01:00:03.430,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/25,01:00:00
Rietvlei1,0003,2016-01-25 01:00:02.360,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/25,01:00:00
Rietvlei1,0003,2016-01-25 01:00:01.313,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/25,01:00:00
Rietvlei1,0003,2016-01-25 00:00:05.863,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/25,00:00:00
Rietvlei1,0003,2016-01-25 00:00:04.897,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/25,00:00:00
Rietvlei1,0003,2016-01-25 00:00:03.710,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/25,00:00:00
Rietvlei1,0003,2016-01-25 00:00:02.207,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/25,00:00:00
Rietvlei1,0003,2016-01-24 23:00:05.487,      87903951,0000008.218,13.1,ON,Rietvlei1,2016/01/24,23:00:00
Rietvlei1,0003,2016-01-24 23:00:04.520,      87903951,0000008.218,13.1,ON,Rietvlei1,2016/01/24,23:00:00
Rietvlei1,0003,2016-01-24 23:00:03.187,      87903951,0000008.218,13.1,ON,Rietvlei1,2016/01/24,23:00:00
Rietvlei1,0003,2016-01-24 23:00:02.130,      87903951,0000008.218,13.1,ON,Rietvlei1,2016/01/24,23:00:00
Rietvlei1,0003,2016-01-24 22:00:05.200,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/24,22:00:00
Rietvlei1,0003,2016-01-24 22:00:04.210,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/24,22:00:00
Rietvlei1,0003,2016-01-24 22:00:02.857,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/24,22:00:00
Rietvlei1,0003,2016-01-24 22:00:01.780,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/24,22:00:00
Rietvlei1,0003,2016-01-24 21:00:06.247,      87903951,0000008.218,13.3,ON,Rietvlei1,2016/01/24,21:00:00
Rietvlei1,0003,2016-01-24 21:00:05.103,      87903951,0000008.218,13.3,ON,Rietvlei1,2016/01/24,21:00:00
Rietvlei1,0003,2016-01-24 21:00:03.357,      87903951,0000008.218,13.3,ON,Rietvlei1,2016/01/24,21:00:00
Rietvlei1,0003,2016-01-24 21:00:01.693,      87903951,0000008.218,13.3,ON,Rietvlei1,2016/01/24,21:00:00
Rietvlei1,0003,2016-01-24 20:00:05.017,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/24,20:00:00
Rietvlei1,0003,2016-01-24 20:00:03.800,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/24,20:00:00
Rietvlei1,0003,2016-01-24 20:00:02.850,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/24,20:00:00
Rietvlei1,0003,2016-01-24 20:00:01.467,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/24,20:00:00
Rietvlei1,0003,2016-01-24 19:00:06.197,      87903953,0000004.703,13.2,ON,Rietvlei1,2016/01/24,19:00:00
Rietvlei1,0003,2016-01-24 19:00:04.967,      87903951,0000008.150,13.2,ON,Rietvlei1,2016/01/24,19:00:00
Rietvlei1,0003,2016-01-24 19:00:03.953,      87903952,0000004.001,13.2,ON,Rietvlei1,2016/01/24,19:00:00
Rietvlei1,0003,2016-01-24 19:00:02.453,      87903954,0000007.408,13.2,ON,Rietvlei1,2016/01/24,19:00:00
Rietvlei1,0003,2016-01-24 18:05:21.250,      87903953,0000004.409,13.1,ON,Rietvlei1,2016/01/24,18:00:00
Rietvlei1,0003,2016-01-24 18:05:20.350,      87903951,0000008.135,13.1,ON,Rietvlei1,2016/01/24,18:00:00
Rietvlei1,0003,2016-01-24 18:05:19.433,      87903952,0000004.001,13.1,ON,Rietvlei1,2016/01/24,18:00:00
Rietvlei1,0003,2016-01-24 18:05:18.500,      87903954,0000007.095,13.1,ON,Rietvlei1,2016/01/24,18:00:00
Rietvlei1,0003,2016-01-24 18:02:36.177,      87903954,0000007.095,13.1,ON,Rietvlei1,2016/01/24,18:00:00
